year,quarter,revenue by hand,revenue by docling,revenue by chatgpt,revenue by claude chat,revenue by claude api,revenue by pypdf
2012,Q1,144433820.0,144433820.0,144433820.0,144433820.0,144433820.0,144433820.0
2012,Q2,101902945.0,101902945.0,101902945.0,101902945.0,101902945.0,101902945.0
2012,Q3,113689582.0,113689582.0,113689582.0,113689582.0,113689582.0,113689582.0
2012,Q4,112193756.0,112193756.0,112193756.0,112193756.0,112193756.0,112193756.0
2013,Q1,144909042.0,,,144909042.0,144909042.0,144909042.0
2013,Q2,102969079.0,,,102969079.0,102969079.0,102969079.0
2013,Q3,127715946.0,,,127715946.0,127715946.0,127715946.0
2013,Q4,97873293.0,,,97873293.0,97873293.0,97873293.0
2014,Q1,178937939.0,178937939.0,,178937939.0,178937939.0,178937939.0
2014,Q2,97874528.0,97874528.0,,97874528.0,97874528.0,97874528.0
2014,Q3,113341820.0,113341820.0,,113341820.0,113341820.0,113341820.0
2014,Q4,89941442.0,89941442.0,,89941442.0,89941442.0,89941442.0
2015,Q1,184078082.0,184078082.0,184078082.0,184078082.0,184078082.0,184078082.0
2015,Q2,106530036.0,106530036.0,106530036.0,106530036.0,106530036.0,106530036.0
2015,Q3,121220994.0,121220994.0,121220994.0,121220994.0,121220994.0,121220994.0
2015,Q4,92643717.0,92643717.0,92643717.0,92643717.0,92643717.0,92643717.0
2016,Q1,209000691.0,209000691.0,209000691.0,209000691.0,209000691.0,209000691.0
2016,Q2,103410554.0,103410554.0,103410554.0,103410554.0,103410554.0,103410554.0
2016,Q3,128301731.0,128301731.0,128301731.0,128301731.0,128301731.0,128301731.0
2016,Q4,93022982.0,93022982.0,93022982.0,93022982.0,93022982.0,93022982.0
2017,Q1,218101940.0,,218101940.0,218101940.0,218101940.0,218101940.0
2017,Q2,113830337.0,,113830377.0,113830377.0,113830377.0,113830377.0
2017,Q3,119381328.0,,119381328.0,119381328.0,119381328.0,119381328.0
2017,Q4,93103052.0,,93103052.0,93103052.0,93103052.0,93103052.0
2018,Q1,227731985.0,227731985.0,227731985.0,227731985.0,227731985.0,227731985.0
2018,Q2,116613005.0,116613005.0,116613005.0,116613005.0,116613005.0,116613005.0
2018,Q3,130392926.0,130392926.0,130392926.0,130392926.0,130392926.0,130392926.0
2018,Q4,95418410.0,6425.0,95418410.0,95418410.0,95418410.0,95418410.0
2019,Q1,235182294.0,235182294.0,118435621.0,235182294.0,235182294.0,235182294.0
2019,Q2,122206446.0,122206446.0,12915249.0,122206446.0,122206446.0,122206446.0
2019,Q3,135134868.0,135134868.0,8305257.0,135134868.0,135134868.0,135134868.0
2019,Q4,100139107.0,100139107.0,4345755.0,100139107.0,100139107.0,100139107.0
2020,Q1,226950949.0,226950949.0,226950949.0,226950949.0,226950949.0,226950949.0
2020,Q2,101702348.0,101702348.0,101702348.0,101702348.0,101702348.0,101702348.0
2020,Q3,100180931.0,100180931.0,100180931.0,100180931.0,100180931.0,100180931.0
2020,Q4,122800632.0,122800632.0,122800632.0,122800632.0,122800632.0,122800632.0
2021,Q1,156952812.0,156952812.0,156952812.0,156952812.0,156952812.0,156952812.0
2021,Q2,138307978.0,138307978.0,138307978.0,138307978.0,138307978.0,138307978.0
2021,Q3,168688173.0,168688173.0,168688173.0,168688173.0,168688173.0,168688173.0
2021,Q4,129655528.0,608616662.0,129655528.0,129655528.0,129655528.0,129655528.0
2022,Q1,283147256.0,283147256.0,,283147256.0,283147256.0,283147256.0
2022,Q2,144041192.0,144041192.0,,144041192.0,144041192.0,144041192.0
2022,Q3,167002689.0,167002689.0,,167002689.0,167002689.0,167002689.0
2022,Q4,108952048.0,108952048.0,,108952048.0,108952048.0,108952048.0
2023,Q1,286367875.0,286367875.0,286367875.0,286367875.0,286367875.0,286367875.0
2023,Q2,136322796.0,136322796.0,136322796.0,136322796.0,136322796.0,136322796.0
2023,Q3,156953485.0,156953485.0,156953485.0,156953485.0,156953485.0,156953485.0
2023,Q4,108364334.0,108364334.0,108364334.0,108364334.0,108364334.0,108364334.0
2024,Q1,297957488.0,,,,,
2024,Q2,136296733.0,,,,,
2024,Q3,,,,,,
2024,Q4,,,,,,
